Date,Close,High,Low,Open,Volume,Date_final
2020-01-02,72.4005126953125,72.46077614730521,71.15667416341765,71.40977771923563,135480400,2020-01-02
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800,2020-01-03
2020-01-06,72.2679443359375,72.30651383633005,70.56851756430221,70.81921563866376,118387200,2020-01-06
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000,2020-01-07
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200,2020-01-08
2020-01-09,74.63750457763672,74.83034471463299,73.81069163960515,74.06138234642438,170108400,2020-01-09
2020-01-10,74.80622100830078,75.37029336253585,74.30483235122053,74.87131024106992,140644800,2020-01-10
2020-01-13,76.40441131591797,76.43093105955663,75.00388930942306,75.12201067519445,121532000,2020-01-13
2020-01-14,75.37271881103516,76.55147571173875,75.24978634537415,76.3417600315841,161954400,2020-01-14
2020-01-15,75.0496826171875,76.05246721987251,74.61819429330173,75.17262239843001,121923600,2020-01-15
2020-01-16,75.9897689819336,76.10065898482559,75.23045126875138,75.59203183277866,108829200,2020-01-16
2020-01-17,76.83109283447266,76.83349837052724,75.93195936574989,76.23809509330889,137816400,2020-01-17
2020-01-21,76.31041717529297,76.90099467937888,76.17301471865545,76.459869381581,110843200,2020-01-21
2020-01-22,76.58280181884766,77.13480977194556,76.48878729766383,76.79492300181599,101832400,2020-01-22
2020-01-23,76.95160675048828,77.03115126719418,76.0886300322076,76.63582686293465,104472000,2020-01-23
2020-01-24,76.7298355102539,77.93992295405599,76.5394009459346,77.1974804769854,146537600,2020-01-24
2020-01-27,74.47358703613281,75.15335327614349,73.49249613883003,74.74115326828117,161940000,2020-01-27
2020-01-28,76.5804214477539,76.75156767343412,75.25462487019138,75.35345786146641,162234000,2020-01-28
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200,2020-01-29
2020-01-30,78.07010650634766,78.1231386457578,76.83591201430718,77.26740045058162,126743200,2020-01-30
2020-01-31,74.60857391357422,77.78324876217432,74.31448794421121,77.361404556077,199588400,2020-01-31
2020-02-03,74.4036865234375,75.56797344941275,72.8512990512171,73.3526878513845,173788400,2020-02-03
2020-02-04,76.8600082397461,77.05044280806926,75.60170706629567,76.00667569866678,136616400,2020-02-04
2020-02-05,77.48676300048828,78.28465065522497,76.88412837567931,77.98573887898152,118826800,2020-02-05
2020-02-06,78.39309692382812,78.395509815644,77.1998851389864,77.75671877652137,105425600,2020-02-06
2020-02-07,77.32754516601562,78.141823360646,76.83704482888538,77.89294895065062,117684000,2020-02-07
2020-02-10,77.6948013305664,77.6948013305664,75.83428641741939,75.91401971596468,109348800,2020-02-10
2020-02-11,77.22607421875,78.26265171467769,77.00861231633205,78.19016687181822,94323200,2020-02-11
2020-02-12,79.06000518798828,79.06483505188083,77.67548599053883,77.67548599053883,113730400,2020-02-12
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600,2020-02-13
2020-02-14,78.5163345336914,78.76520890109116,78.00891869878639,78.46558778851511,80113600,2020-02-14
2020-02-18,77.07867431640625,77.25989377012822,76.0179329078446,76.19915236156656,152531200,2020-02-18
2020-02-19,78.19497680664062,78.4245243735885,77.32029218115534,77.32029218115534,93984000,2020-02-19
2020-02-20,77.39276885986328,78.44384294584167,76.88777163956716,77.95576130740083,100566000,2020-02-20
2020-02-21,75.64099884033203,77.42903672549149,75.02485563249914,76.98685711850104,129554000,2020-02-21
2020-02-24,72.04801177978516,73.49776723386336,69.88546431842104,71.8257200728422,222195200,2020-02-24
2020-02-25,69.60758209228516,73.0990790994302,69.13641603822464,72.71731344350151,230673600,2020-02-25
2020-02-26,70.7118148803711,71.9755209333374,69.22581713906433,69.23306562077462,198054800,2020-02-26
2020-02-27,66.08951568603516,69.10500967174747,65.95420576749399,67.92104419759342,320605600,2020-02-27
2020-02-28,66.05085754394531,67.27107285671417,61.94563554811998,62.1606861550344,426510000,2020-02-28
2020-03-02,72.20024871826172,72.83572613943491,67.10435837488609,68.20617210459764,341397200,2020-03-02
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600,2020-03-03
2020-03-04,73.14981842041016,73.3092923901448,70.82779719372856,71.6275782870545,219178400,2020-03-04
2020-03-05,70.77706146240234,72.3790349760971,70.41220399588842,71.40528289969257,187572800,2020-03-05
