Date,Close,High,Low,Open,Volume,Date_final
2020-01-02,82.39803314208984,82.78150423175265,81.6790275917606,82.35010382719618,1410500,2020-01-02
2020-01-03,81.07508087158203,81.8036753481081,81.00797396677727,81.17094683357398,1118300,2020-01-03
2020-01-06,81.31474304199219,81.31474304199219,80.14515938095329,80.52863051288296,1993200,2020-01-06
2020-01-07,81.56399536132812,81.73655699438437,80.47110745667293,80.49027772074449,1684700,2020-01-07
2020-01-08,82.36927795410156,82.89655164138404,81.67903142315106,82.40762579627693,1847600,2020-01-08
2020-01-09,83.66348266601562,84.07571280767122,82.60894265441605,82.88695901172822,1912700,2020-01-09
2020-01-10,83.97026824951172,84.59340793181163,83.71142943808746,84.09490057443384,1417000,2020-01-10
2020-01-13,83.84563446044922,84.67009475734055,83.15538795011203,84.18116892683457,1630200,2020-01-13
2020-01-14,84.35372924804688,84.56463871339501,83.1170388218623,83.66348274839942,1675200,2020-01-14
2020-01-15,84.95770263671875,85.4274509047458,83.93192162704979,84.00860999747039,1630400,2020-01-15
2020-01-16,85.76300048828125,85.79175954651751,85.18779738124314,85.43705474279791,1595900,2020-01-16
2020-01-17,86.39570617675781,86.5490902181537,85.52330929909175,86.25190360950378,3718300,2020-01-17
2020-01-21,85.90679931640625,86.42448428421021,85.76299671744337,86.0889497626995,2697400,2020-01-21
2020-01-22,86.40528869628906,86.89421450522718,86.12727234666161,86.22314560205916,1665800,2020-01-22
2020-01-23,85.38909912109375,86.26149603555035,84.99604655573287,85.91637278522717,1228300,2020-01-23
2020-01-24,84.6125717163086,85.7629776236841,83.96067308503518,85.75338883546029,1164500,2020-01-24
2020-01-27,82.98282623291016,83.56761800830857,82.64729176688716,82.96365596946718,1868000,2020-01-27
2020-01-28,83.57721710205078,83.86482228787631,82.62813169139243,83.26085286046343,1652200,2020-01-28
2020-01-29,83.63472747802734,84.70844511648149,83.54845031872186,83.93192142631997,1131500,2020-01-29
2020-01-30,80.8929214477539,81.51606110271179,80.14515678744574,81.39143609736152,3026700,2020-01-30
2020-01-31,79.14813995361328,80.85457886673295,78.93723045844501,80.55739220396151,2850400,2020-01-31
2020-02-03,78.75509643554688,80.23145575825461,78.71674858525652,79.84798456945573,1919800,2020-02-03
2020-02-04,80.06844329833984,80.43274407223231,79.35902663912543,79.42613352156326,1676000,2020-02-04
2020-02-05,81.4201889038086,81.96663283011189,80.9025040292945,81.03671781371268,2345100,2020-02-05
2020-02-06,81.31474304199219,81.86118702790833,81.0846632884758,81.7844913387017,835500,2020-02-06
2020-02-07,79.73292541503906,81.28598013439834,79.49325688320539,81.11341849891399,1447600,2020-02-07
